Status,DT,Ent.DT,Trn DT,Due Date,Ref.No.,S-AC,S-AC Name,A/C Code,Unit,Unit Name,Doc.No.,REMARKS,Instruction No.,Cont.No.,Clrng doc.,Clrng DT,2nd Sub-Account,Items,Curr,Trans. Amt.,Dom. Amt.,Material Code,Tx,Quantity,Quantity Unit,rate,SAP DocEntry
SUCCESS,H1,20231219,20231219,,MIGSSEVFEE3Q,4Q608,MARUBENI ASIAN POWER PHILIPPINES CORP,33323,MA11,MAC1,100011677,migs servFee_3Q,,100011677,,,,2,PHP,"-1,012.12","-1,012.12",,5,0.0,,,
SUCCESS,H1,20231219,20231219,,MIGSSEVFEE3Q,4Q04P,MCNK JV CORPORATION,33323,MB11,MAC2,100011678,migs servFee_3Q,,100011678,,,,2,PHP,"-4,047.93","-4,047.93",,5,0.0,,,
SUCCESS,H1,20231220,20231220,20231228.0,SERVICE FEE,4Q04P,MCNK JV CORPORATION,30212,MB11,MAC2,100011740,SERVICE FEE DEC2023,,DECEMBER,,,,2,PHP,"-945,000.00","-945,000.00",,5,0.0,,,
SUCCESS,H1,20231220,20231220,20231228.0,SERVICE FEE,4Q04P,MCNK JV CORPORATION,30212,MB11,MAC2,100011740,SERVICE FEE DEC2023,,DECEMBER,,,,2,PHP,"-945,000.00","-945,000.00",,5,0.0,,,
SUCCESS,H1,20231220,20231220,,GAS 12M2023,4Q04P,MCNK JV CORPORATION,33323,MB11,MAC2,100011746,SHELL GAS 12M2023,,100011746,,,,2,PHP,"-28,633.29","-28,633.29",,5,0.0,,,
SUCCESS,H1,20231220,20231220,,MIGSSEVFEE3Q,4Q04P,MCNK JV CORPORATION,33323,MB11,MAC2,100011762,migs servFee_3Q,,100011762,,,,2,PHP,"-4,048.23","-4,048.23",,5,0.0,,,
SUCCESS,H1,20231220,20231220,,MIGSSEVFEE3Q,4Q608,MARUBENI ASIAN POWER PHILIPPINES CORP,33323,MA11,MAC1,100011761,migs servFee_3Q,,100011761,,,,2,PHP,"-1,011.92","-1,011.92",,5,0.0,,,
SUCCESS,H1,20231220,20231220,,MIGSSEVFEE3Q,MW350,MARUBENI CORPORATION -,33323,HB02,ADMI,100011760,migs servFee_3Q,,LRT2,,,,2,PHP,"-1,011.92","-1,011.92",,5,0.0,,,
SUCCESS,H1,20231220,20231220,,MIGSSEVFEE3Q,MW350,MARUBENI CORPORATION -,33323,HB02,ADMI,100011759,migs servFee_3Q,,MCMB,,,,2,PHP,"-1,011.92","-1,011.92",,5,0.0,,,
SUCCESS,H1,20231220,20231220,20231229.0,GIBSON,S434V,CLS CORPORATION,33323,CG12,LFS3,100011745,SYMPATHY FLOWERS,,FLOWERS,,,,2,USD,-127.89,"-7,142.86",,5,0.0,,55.85,
SUCCESS,H1,20231222,20231222,20240131.0,3RB00928,B581,MARUBENI CORPORATION PACKAGING BUSINESS,30112,CJ12,FP2,100011815,RRB00928,,CORRUGAT,,,,2,USD,-526.43,"-29,348.47",,5,0.0,,55.75,
SUCCESS,H1,20231222,20231222,20240110.0,IPG1584,PI003,"ISHIDA PHILIPPINES GRATING CO., INC.",30112,CC17,MET6,100011810,IPG1584 DEC2023,,GRATINGS,,,,2,PHP,"-9,648.41","-9,648.41",,5,0.0,,,
SUCCESS,H1,20231222,20231222,20240110.0,IPG1585,PI003,"ISHIDA PHILIPPINES GRATING CO., INC.",30112,CC17,MET6,100011811,IPG1585 DEC2023,,GRATINGS,,,,2,PHP,"-9,712.60","-9,712.60",,5,0.0,,,
SUCCESS,H1,20231222,20231222,20240131.0,3RD00981,B581,MARUBENI CORPORATION PACKAGING BUSINESS,30112,CJ11,FP1,100011813,3RD00981 JAMES HARDI,,H. PULP,,,,2,USD,"-1,750.00","-97,562.50",,5,0.0,,55.75,
SUCCESS,H1,20231222,20231222,20240126.0,PO2312095027,PI069,IBIDEN PHILIPPINES INC. -,30212,MC14,MAC14,100011807,IPI SALES FOR DEC#03,,IBIDEN,,,,2,USD,"-19,641.70","-1,098,953.12",,5,0.0,,55.95,
